name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,plus_code
ΑΒ Βασιλόπουλος,"Smirnis 5, Mitilini 811 00, Greece",ab.gr,https://www.ab.gr,+30 2251 037756,Supermarket,Mitilini,636,4.3,39.1049472,26.5114744,
"Super Market ""Μυτιλήνη""","Gorgopotamou, Mitilini 811 00, Greece",,,+30 2251 046326,Supermarket,Mitilini,246,4.5,39.1049472,26.5114744,
My market,"El. Venizelou 27, Mitilini 811 32, Greece",mymarket.gr,https://www.mymarket.gr,+30 2251 045066,Supermarket,Mitilini,1511,4.3,39.1049472,26.5114744,
Smart shop,"Filellinon, Mitilini 811 00, Greece",,,+30 2251 025080,Supermarket,Mitilini,34,4.8,39.1049472,26.5114744,
in market,"EO Mitilinis Kallonis, Lesvos 811 00, Greece",inmarket.gr,https://www.inmarket.gr,+30 2251 021384,Supermarket,Mitilini,147,4.5,39.1091999,26.4647783,
