name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,plus_code
Carrefour Express Via Vittoria Store,"Via Vittoria, 22 A, 00187 Roma RM, Italy",carrefour.it,https://www.carrefour.it,+39 0773 687280,Supermarket,Rome,1381,3.7,,,
Carrefour Express - Supermarket,"Via dei SS. Quattro, 00184 Roma RM, Italy",carrefour.it,https://www.carrefour.it,+39 06 7759 0745,Supermarket,Rome,1149,3.9,,,
Carrefour Express Via Vittoria Store,"Via Vittoria, 22 A, 00187 Roma RM, Italy",carrefour.it,https://www.carrefour.it,+39 0773 687280,Supermarket,Rome,1381,3.7,,,"WF4H+QR Rome, Metropolitan City of Rome Capital, Italy"
Carrefour Express - Supermarket,"Via dei SS. Quattro, 00184 Roma RM, Italy",carrefour.it,https://www.carrefour.it,+39 06 7759 0745,Supermarket,Rome,1149,3.9,,,"VFQV+RP Rome, Metropolitan City of Rome Capital, Italy"
