name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,plus_code
Esselunga,"Viale Luigi Sturzo, 13, 20154 Milano MI, Italy",esselunga.it,https://www.esselunga.it,+39 02 6556 0991,Supermarket,Milan,6628,4.3,,,"F5MR+H2 Milan, Metropolitan City of Milan, Italy"
Carrefour Express,"Via Luigi Settembrini, 27, 20124 Milano MI, Italy",carrefour.it,https://www.carrefour.it,+39 0184 670102,Supermarket,Milan,800,3.8,,,"F6M4+4P Milan, Metropolitan City of Milan, Italy"
Penny Market Express,"V. Ruggero Boscovich, 18, 20124 Milano MI, Italy",penny.it,https://www.penny.it,+39 800 901 290,Grocery store,Milan,1099,4.0,,,"F6J3+V2 Milan, Metropolitan City of Milan, Italy"
Pam Local,"Via Nicola Piccinni, 2, 20131 Milano MI, Italy",pampanorama.it,https://www.pampanorama.it,+39 02 2951 2715,Hypermarket,Milan,2493,3.9,,,"F6M7+5H Milan, Metropolitan City of Milan, Italy"
ALDI Milano Via Galvani,"Via Luigi Galvani, 12, 20124 Milano MI, Italy",aldi.it,https://www.aldi.it,,Supermarket,Milan,796,4.2,,,"F6P2+C5 Milan, Metropolitan City of Milan, Italy"
