name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,plus_code
HIT Supermarkt,"Kantstraße 7, 10623 Berlin, Germany",hit.de,https://www.hit.de,+49 30 81850110,Supermarket,Berlin,9819,4.0,,,"G84J+GG Berlin, Germany"
EDEKA City Markt,"Friedrichstraße 142, 10117 Berlin, Germany",edeka.de,https://www.edeka.de,+49 30 20166540,Supermarket,Berlin,2846,3.9,,,"G9CP+2Q Berlin, Germany"
